iter	Passed	Remaining
0	61	61829
1	63	31656
2	65	21625
3	66	16581
4	68	13536
5	69	11472
6	70	10038
7	72	8943
8	73	8075
9	74	7393
10	75	6825
11	77	6358
12	78	5974
13	80	5638
14	81	5368
15	83	5125
16	84	4913
17	86	4731
18	88	4550
19	89	4388
20	90	4238
21	92	4090
22	93	3978
23	95	3875
24	96	3771
25	98	3674
26	99	3585
27	100	3498
28	102	3416
29	103	3344
30	104	3278
31	106	3211
32	107	3151
33	109	3101
34	110	3051
35	112	3003
36	113	2960
37	115	2912
38	116	2872
39	117	2830
40	119	2793
41	120	2756
42	122	2725
43	124	2696
44	125	2659
45	126	2627
46	128	2595
47	129	2565
48	130	2538
49	132	2511
50	133	2484
51	135	2462
52	136	2438
53	137	2416
54	139	2395
55	141	2378
56	142	2358
57	143	2337
58	145	2320
59	146	2300
60	148	2281
61	149	2264
62	151	2246
63	154	2257
64	156	2250
65	157	2235
66	159	2220
67	161	2206
68	162	2198
69	164	2179
70	166	2182
71	168	2173
72	169	2156
73	171	2145
74	172	2132
75	174	2117
76	176	2120
77	178	2109
78	179	2095
79	181	2082
80	182	2069
81	183	2055
82	184	2043
83	186	2038
84	188	2027
85	189	2018
86	191	2005
87	192	1996
88	193	1985
89	195	1975
90	196	1962
91	197	1953
92	199	1943
93	200	1933
94	202	1931
95	204	1923
96	206	1919
97	208	1915
98	209	1909
99	211	1901
100	213	1895
101	214	1888
102	215	1880
103	217	1872
104	218	1863
105	219	1853
106	221	1847
107	222	1836
108	223	1828
109	225	1820
110	226	1812
111	227	1804
112	229	1797
113	230	1788
114	231	1780
115	232	1773
116	233	1765
117	235	1758
118	236	1752
119	238	1745
120	239	1737
121	240	1731
122	241	1724
123	243	1717
124	244	1709
125	245	1703
126	246	1697
127	248	1690
128	249	1683
129	250	1676
130	251	1671
131	253	1666
132	254	1660
133	255	1654
134	257	1648
135	258	1642
136	260	1637
137	261	1633
138	262	1628
139	264	1622
140	265	1616
141	267	1618
142	269	1612
143	270	1607
144	271	1601
145	272	1595
146	273	1588
147	275	1583
148	276	1578
149	277	1572
150	278	1567
151	279	1560
152	280	1555
153	282	1549
154	283	1545
155	284	1539
156	285	1534
157	287	1529
158	288	1524
159	289	1519
160	290	1514
161	291	1509
162	293	1505
163	294	1500
164	295	1496
165	296	1490
166	297	1486
167	299	1481
168	300	1477
169	301	1473
170	302	1468
171	304	1463
172	305	1459
173	306	1454
174	307	1449
175	308	1445
176	309	1439
177	310	1434
178	311	1429
179	312	1425
180	314	1421
181	315	1417
182	316	1414
183	318	1410
184	319	1406
185	320	1401
186	321	1397
187	323	1395
188	324	1391
189	325	1387
190	326	1384
191	327	1379
192	328	1374
193	329	1370
194	331	1367
195	332	1363
196	333	1360
197	334	1356
198	336	1353
199	337	1350
200	339	1347
201	340	1344
202	341	1341
203	342	1336
204	343	1332
205	344	1329
206	346	1325
207	347	1322
208	348	1319
209	349	1315
210	350	1312
211	352	1309
212	353	1306
213	354	1303
214	356	1300
215	357	1296
216	358	1294
217	359	1291
218	361	1287
219	362	1284
220	363	1281
221	364	1277
222	365	1274
223	367	1271
224	368	1268
225	369	1266
226	370	1263
227	372	1260
228	373	1256
229	374	1253
230	375	1250
231	376	1247
232	377	1244
233	378	1240
234	380	1237
235	381	1234
236	382	1232
237	383	1228
238	385	1226
239	386	1223
240	388	1222
241	389	1219
242	390	1217
243	392	1214
244	393	1212
245	394	1209
246	395	1206
247	396	1203
248	398	1201
249	399	1199
250	400	1196
251	402	1193
252	403	1191
253	404	1188
254	405	1186
255	407	1183
256	408	1180
257	409	1177
258	410	1175
259	412	1172
260	413	1169
261	414	1167
262	415	1163
263	416	1161
264	417	1158
265	418	1155
266	420	1153
267	421	1151
268	422	1148
269	423	1146
270	425	1143
271	426	1141
272	427	1139
273	429	1136
274	430	1134
275	431	1131
276	432	1129
277	433	1126
278	434	1123
279	435	1120
280	437	1118
281	438	1116
282	439	1113
283	440	1111
284	441	1108
285	443	1106
286	444	1104
287	446	1103
288	447	1101
289	449	1099
290	450	1096
291	451	1094
292	452	1092
293	453	1089
294	455	1088
295	456	1086
296	458	1084
297	459	1082
298	461	1081
299	462	1079
300	464	1077
301	465	1075
302	467	1075
303	468	1073
304	470	1071
305	471	1069
306	472	1067
307	474	1065
308	475	1063
309	477	1062
310	478	1060
311	480	1058
312	481	1056
313	482	1054
314	484	1052
315	485	1050
316	486	1048
317	488	1047
318	489	1045
319	491	1043
320	492	1041
321	493	1040
322	495	1038
323	496	1036
324	498	1035
325	500	1034
326	502	1033
327	503	1031
328	504	1029
329	505	1026
330	507	1024
331	508	1023
332	509	1021
333	511	1019
334	512	1017
335	513	1015
336	515	1013
337	516	1011
338	517	1009
339	519	1007
340	520	1006
341	522	1004
342	524	1004
343	525	1002
344	528	1002
345	529	1001
346	531	999
347	532	997
348	533	995
349	535	993
350	536	991
351	537	989
352	538	987
353	539	985
354	541	983
355	542	982
356	544	980
357	545	978
358	546	976
359	548	974
360	550	973
361	551	972
362	553	970
363	554	968
364	555	966
365	557	965
366	558	963
367	560	961
368	561	960
369	563	959
370	564	957
371	566	956
372	568	954
373	569	953
374	570	951
375	572	950
376	574	949
377	576	948
378	577	946
379	578	944
380	580	943
381	581	941
382	583	939
383	584	937
384	586	936
385	587	934
386	589	933
387	590	932
388	592	930
389	593	928
390	594	926
391	596	924
392	597	922
393	598	920
394	600	919
395	601	916
396	602	914
397	603	912
398	604	911
399	606	909
400	607	907
401	608	905
402	609	903
403	611	902
404	612	900
405	613	897
406	614	895
407	616	894
408	617	892
409	618	890
410	620	888
411	621	886
412	622	884
413	623	883
414	625	881
415	626	879
416	627	877
417	629	876
418	630	874
419	631	872
420	632	870
421	634	868
422	635	866
423	636	865
424	638	863
425	639	861
426	640	859
427	641	857
428	643	855
429	644	854
430	645	852
431	647	851
432	648	849
433	650	847
434	651	846
435	652	844
436	654	842
437	655	841
438	656	839
439	658	837
440	659	835
441	660	834
442	662	832
443	663	830
444	664	828
445	666	827
446	667	825
447	668	824
448	670	822
449	671	820
450	673	819
451	674	817
452	675	816
453	677	814
454	678	812
455	680	811
456	681	809
457	682	807
458	683	806
459	685	804
460	686	802
461	687	800
462	688	799
463	690	797
464	691	795
465	693	794
466	694	792
467	696	791
468	697	789
469	698	788
470	700	786
471	701	785
472	703	783
473	705	782
474	706	780
475	707	778
476	708	776
477	710	775
478	711	773
479	712	771
480	713	770
481	715	768
482	716	766
483	717	765
484	719	764
485	721	762
486	722	761
487	723	759
488	724	757
489	725	755
490	727	754
491	728	752
492	730	750
493	731	749
494	732	747
495	734	745
496	735	744
497	736	742
498	738	741
499	740	740
500	741	738
501	742	737
502	744	735
503	745	734
504	747	732
505	748	730
506	750	729
507	751	727
508	752	726
509	754	724
510	755	722
511	756	721
512	758	719
513	759	718
514	761	716
515	762	714
516	763	713
517	764	711
518	765	709
519	767	708
520	768	706
521	769	704
522	770	703
523	772	701
524	773	699
525	775	698
526	776	697
527	778	695
528	779	694
529	780	692
530	782	690
531	783	689
532	784	687
533	786	685
534	787	684
535	788	682
536	790	681
537	791	679
538	793	678
539	794	677
540	796	675
541	798	674
542	799	673
543	801	671
544	802	670
545	803	668
546	804	666
547	806	664
548	807	663
549	808	661
550	809	660
551	811	658
552	812	656
553	813	655
554	815	653
555	816	652
556	817	650
557	819	648
558	820	647
559	821	645
560	822	643
561	824	642
562	825	640
563	826	639
564	828	637
565	829	635
566	830	634
567	832	632
568	833	631
569	834	629
570	836	628
571	837	626
572	838	625
573	839	623
574	841	621
575	842	620
576	843	618
577	845	617
578	846	615
579	847	613
580	848	612
581	849	610
582	851	608
583	852	607
584	854	605
585	855	604
586	856	602
587	857	601
588	859	599
589	860	597
590	861	596
591	862	594
592	864	593
593	865	591
594	866	589
595	868	588
596	869	586
597	870	585
598	872	583
599	873	582
600	874	580
601	875	579
602	877	577
603	878	575
604	879	574
605	880	572
606	881	571
607	883	569
608	884	567
609	885	566
610	887	564
611	888	563
612	889	561
613	890	559
614	891	558
615	893	556
616	894	555
617	895	553
618	897	552
619	898	550
620	900	549
621	902	548
622	903	546
623	905	545
624	906	543
625	907	542
626	909	541
627	911	539
628	912	538
629	913	536
630	915	535
631	916	533
632	917	532
633	919	530
634	920	528
635	921	527
636	922	525
637	924	524
638	925	522
639	926	521
640	928	519
641	929	518
642	930	516
643	931	514
644	933	513
645	934	511
646	935	510
647	936	508
648	938	507
649	939	505
650	940	504
651	941	502
652	943	501
653	944	499
654	945	498
655	946	496
656	948	495
657	949	493
658	950	492
659	952	490
660	953	488
661	954	487
662	955	485
663	957	484
664	958	482
665	959	481
666	960	479
667	962	478
668	963	476
669	964	475
670	966	473
671	967	472
672	968	470
673	969	469
674	971	467
675	972	466
676	973	464
677	974	462
678	976	461
679	977	460
680	978	458
681	980	457
682	981	455
683	982	453
684	983	452
685	985	450
686	986	449
687	987	447
688	988	446
689	990	444
690	991	443
691	993	441
692	994	440
693	995	438
694	996	437
695	997	435
696	999	434
697	1000	432
698	1001	431
699	1002	429
700	1004	428
701	1005	426
702	1006	425
703	1008	423
704	1009	422
705	1011	421
706	1012	419
707	1014	418
708	1016	417
709	1017	415
710	1019	414
711	1021	413
712	1022	411
713	1023	410
714	1025	408
715	1027	407
716	1029	406
717	1031	405
718	1032	403
719	1034	402
720	1036	400
721	1037	399
722	1039	398
723	1040	396
724	1042	395
725	1043	393
726	1045	392
727	1047	391
728	1048	389
729	1049	388
730	1050	386
731	1052	385
732	1053	383
733	1054	382
734	1056	380
735	1057	379
736	1058	377
737	1060	376
738	1061	374
739	1062	373
740	1064	371
741	1065	370
742	1066	368
743	1067	367
744	1069	365
745	1070	364
746	1071	362
747	1072	361
748	1074	359
749	1075	358
750	1076	356
751	1077	355
752	1079	353
753	1080	352
754	1081	351
755	1083	349
756	1084	348
757	1085	346
758	1086	345
759	1088	343
760	1089	342
761	1090	340
762	1091	339
763	1093	337
764	1094	336
765	1095	334
766	1097	333
767	1098	331
768	1099	330
769	1101	329
770	1102	327
771	1104	326
772	1105	324
773	1106	323
774	1107	321
775	1109	320
776	1110	318
777	1111	317
778	1113	315
779	1114	314
780	1115	312
781	1117	311
782	1118	309
783	1119	308
784	1121	307
785	1122	305
786	1123	304
787	1125	302
788	1126	301
789	1127	299
790	1129	298
791	1131	297
792	1132	295
793	1134	294
794	1135	292
795	1137	291
796	1139	290
797	1140	288
798	1141	287
799	1144	286
800	1145	284
801	1147	283
802	1148	281
803	1150	280
804	1151	278
805	1152	277
806	1153	275
807	1155	274
808	1156	273
809	1158	271
810	1159	270
811	1160	268
812	1161	267
813	1163	265
814	1164	264
815	1165	262
816	1166	261
817	1168	259
818	1169	258
819	1170	256
820	1171	255
821	1172	253
822	1173	252
823	1175	251
824	1176	249
825	1177	248
826	1179	246
827	1180	245
828	1181	243
829	1182	242
830	1183	240
831	1185	239
832	1186	237
833	1187	236
834	1189	235
835	1190	233
836	1191	232
837	1193	230
838	1194	229
839	1196	227
840	1197	226
841	1199	224
842	1200	223
843	1201	222
844	1203	220
845	1204	219
846	1205	217
847	1207	216
848	1208	214
849	1209	213
850	1211	212
851	1212	210
852	1213	209
853	1214	207
854	1216	206
855	1217	204
856	1218	203
857	1219	201
858	1221	200
859	1222	198
860	1223	197
861	1224	196
862	1226	194
863	1227	193
864	1228	191
865	1229	190
866	1230	188
867	1232	187
868	1233	185
869	1234	184
870	1236	183
871	1237	181
872	1238	180
873	1239	178
874	1241	177
875	1242	175
876	1243	174
877	1245	173
878	1246	171
879	1247	170
880	1248	168
881	1249	167
882	1251	165
883	1252	164
884	1253	162
885	1255	161
886	1256	160
887	1257	158
888	1258	157
889	1259	155
890	1260	154
891	1262	152
892	1263	151
893	1264	149
894	1266	148
895	1267	147
896	1268	145
897	1269	144
898	1271	142
899	1272	141
900	1273	139
901	1274	138
902	1276	137
903	1277	135
904	1279	134
905	1280	132
906	1281	131
907	1282	129
908	1283	128
909	1285	127
910	1286	125
911	1288	124
912	1289	122
913	1291	121
914	1292	120
915	1293	118
916	1294	117
917	1296	115
918	1297	114
919	1298	112
920	1300	111
921	1301	110
922	1303	108
923	1304	107
924	1305	105
925	1306	104
926	1307	103
927	1309	101
928	1310	100
929	1311	98
930	1312	97
931	1314	95
932	1315	94
933	1316	93
934	1317	91
935	1319	90
936	1320	88
937	1321	87
938	1322	85
939	1324	84
940	1325	83
941	1326	81
942	1327	80
943	1328	78
944	1330	77
945	1331	76
946	1332	74
947	1333	73
948	1335	71
949	1336	70
950	1337	68
951	1338	67
952	1340	66
953	1341	64
954	1342	63
955	1343	61
956	1344	60
957	1346	59
958	1347	57
959	1348	56
960	1350	54
961	1351	53
962	1352	51
963	1353	50
964	1355	49
965	1356	47
966	1357	46
967	1358	44
968	1359	43
969	1360	42
970	1362	40
971	1363	39
972	1364	37
973	1365	36
974	1367	35
975	1368	33
976	1369	32
977	1370	30
978	1372	29
979	1373	28
980	1374	26
981	1375	25
982	1377	23
983	1378	22
984	1379	21
985	1380	19
986	1382	18
987	1383	16
988	1384	15
989	1385	13
990	1387	12
991	1388	11
992	1389	9
993	1390	8
994	1392	6
995	1393	5
996	1395	4
997	1396	2
998	1397	1
999	1398	0
